organization,url,size,country,description,url2,category,source,url_https,url_source
Mentalytica,www.mentalytica.com/,1-10,Ecuador,Monitoreo y pronóstico diario de los contagios de COVID-19 en el Ecuador analizando los crecimientos de los contagios en todos los países del mundo a partir de tecnologías de Machine Learning que permite evaluar las políticas emitidas por el gobierno y evaluar su efectividad.,rpubs.com/diegom/covid_19_Ec,Big data and analytics,,,
Proyecto Lingüístico Francisco Marroquín,wujapp.gt,1-10,Guatemala,"Acceso gratuito a docentes y estudiantes ilustraciones y sonidos en maya Kaqchikel y español, a través de una aplicación web disponible a través de WujApp.gt. La herramienta es un diccionario interactivo y fue elaborada por el Proyecto Lingüístico Francisco Marroquín (PLFM), fundado en Guatemala en 1972. El sitio se habilitó en 2020, tras dos años de trabajo. Se adelantó su lanzamiento durante la emergencia del COVID-19, para ofrece una solución de formación en línea para la población guatemalteca. 

En Guatemala, el estudio de un segundo idioma nacional es obligatorio, de modo la plataforma busca facilitar el acceso a toda la comunidad educativa que estudia el Kaqchikel  como L2. El contenido de WujApp.gt tiene el visto bueno de la Comunidad Lingüística Kaqchikel de la Academia de Lenguas Mayas de Guatemala (ALMG) y el de la Dirección General de Educación Bilingüe Intercultural (DIGEBI) del Ministerio de Educación (MINEDUC).",www.plazapublica.com.gt/content/16-iniciativas-de-reinvencion-y-solidaridad-para-personas-y-empresas-en-tiempos-de-covid19,Remote education,,,
LiSalud - Sistema de automatización paraLaboratorios Clínicos,www.lisalud.com/,1-10,Honduras,"LiSalud es un sistema en línea para la gestión de información de laboratorios que realizan análisis clínicos. En el marco de la pandemia de COVID-19 muchos laboratorios están realizando análisis para detectar esta enfermedad, recolectando datos del paciente, reportando los resultados del análisis COVID - 19 y de otros análisis asociados para confirmar a este paciente y comunicando estos resultados a los hospitales regionales o lugares de donde se remitieron estas muestras. 

En LiSalud es posible gestionar toda la información asociada a estos pacientes en los laboratorios que están realizando las pruebas y que estas puedan ser comunicadas inmediatamente en una plataforma oficial a todos los interesados, centralizando la información, disminuyendo los errores y aumentando la confianza en el proceso. 

LiSalud gestiona toda la información generada en la rutina de un laboratorio de análisis clínicos en 3 sencillos pasos: 1.ingreso de los datos del paciente, 2.ingreso de los análisis solicitados, 3. reporte y validación de resultados. El proceso concluye con la generación de un reporte en PDF con los datos del paciente, del laboratorio que realizó las pruebas y el resultado de los análisis realizados.
Diferentes usuarios que pueden ser médicos, otros laboratorios o autoridades pueden visualizar los resultados desde cualquier lugar, cualquier dispositivo en cualquier momento. 

LiSalud también cuenta con estadísticas, historial de pacientes (en el caso de aquellos pacientes a los que se les repiten las pruebas) y almacenamiento ilimitado de datos. LiSalud es una plataforma intuitiva, fácil de usar, con implementación rápida y entrenamiento completamente virtual. Actualmente contamos con 15 laboratorios que ya utilizan nuestro servicio hace más de un año, uno de ellos en La Mosquitia Hondureña, que es una región remota y casi inaccesible en el país. 

En el caso específico de Honduras, la notificación de los resultados es muy tardada, lo que genera quejas e incertidumbre por parte de los pacientes y comunidad médica. Al utilizar LiSalud el laboratorio que realiza las pruebas para COVID-19 puede reportarlas y comunicarlas en tiempo real los interesados, agilizando el reporte e incrementando la confianza en el proceso. ",,Digital management platforms,,,
Frena la Curva,frenalacurva.net/,11-50,Spain,"Frena La Curva es una iniciativa para acelerar, visibilizar y multiplicar iniciativas ciudadanas que ayudan a luchar contra la situación provocada por el COVID-19. Se organiza a través de una plataforma digital frenalacurva.net que constituye un nexo de unión entre iniciativas y participantes.",Mapa,Other,,,
Laboratoria,www.laboratoria.la/,51-100,Perú,"Formamos a mujeres para que puedan trabajar como desarrolladoras de software y diseñadoras normalmente en modalidad presencial. Dada la contingecia, pasamos todo nuestro modelo a remoto (admisión, selección, bootcamp, placement).

Estamos también adaptando nuestros talleres corporativos a empresas que requieren apoyo para adaptarse a esta nueva forma de trabajo más digital y remoto. El foco es acompañamiento en las transformaciones culturales, de equipo y de mentalidad que hay que tener para lograr generar ambientes de apendizaje continuo en épocas altamente inciertas. Liberamos un curso gratuito para empezar a compartir tips en torno a las características que ayudan a implementar un trabajo remoto.",hub.laboratoria.la/educacion-en-los-tiempos-inciertos-del-covid-19,Remote education,,,
DePeru.com,www.deperu.com/coronavirus/,1-10,Perú,Información estadística de la propagación del coronavirus COVID-19 y herramientas para distribuir la información a investigadores.,www.deperu.com/noticias/,Big data and analytics,,,
Piscina Lab PUCP,frenalacurva.org.pe/,11-50,Perú,"Somos una iniciativa de solidaridad ciudadana para ayudarnos, cuidarnos y fortalecernos entre nosotros, a través de una plataforma que permite el intercambio de ayuda en todo momento y lugar a nivel nacional.",www.holasoymedico.com/,Digital management platforms,,,
inkadoctor,inkadoctor.com/,1-10,Perú,"Monitoreo de pacientes respiratorios con sospecha de infección por coronavirus 
El monitoreo tiene que ser durante 14 días , en 2 fases.

MONITOREO ESTACIONAL 
      Funciones vitales; frecuencia respiratoria, frecuencia cardiaca, presión arterial, temperatura 

      Síntomas: congestión conjuntival, nasal, dolor de cabeza, tos, dolor de garganta , producción de esputo, fatiga , hemoptisis, falta de aire , nauseas o vómitos, mialgias o artralgias, diarrea, escalofríos 

      Signos: congestión de la garganta, edema de las amígdalas, hipertrofia de los ganglios linfáticos. 

      Antecedentes de otras enfermedades: enfermedad pulmonar obstructiva crónica, diabetes, hipertensión arterial, enfermedad coronaria , enfermedad cerebrovascular, infección por hepatitis B, cáncer , enfermedad renal crónica , inmunodeficiencia 
 
MONITOREO ESTRICTO 

Si presenta algunos de los siguientes signos o síntomas ACUDIR A CENTRO DE SALUD URGENTE si. 
       Frecuencia respiratoria >30rpm
       Saturación de oxigeno <93 
       Temperatura  ≥ 38.5°c  por dos días 
       No puede vivir independientemente 
       Trastorno de conciencia 

Ayudará a ver los paciente que están en riesgo de hacer infección grave y predecir los cuidados necesarios. 
Disminución de la tasa de mortalidad 
Disminución de la propagación intradomiciliaria y local de la enfermedad",www.bmj.com/coronavirus,"Medical testing, diagnostic devices and digital diagnostic solutions",,,
FARMAPP SAS,www.farmappweb.com/,1-10,Colombia,"To give support to the health system in estimating the distribution of potential cases of the COVID-19 . This aims to contain its expansion and allow timely decision-making based on the information provided by a simple questionare. This questionnaire is not intending to capture data, but rather, relevant information related to the location, gender, age, signs, symptoms, underlying diseases, special situations, mood and functional capacity of the respondents.
To remove pressure from health services and emergency lines (E.g. 000, 123 in Colombia) by automating the flowchart through which initial care is specified, offering support to symptomatic patients, nursing staff or      Pre-Care technicians Hospital (APH). COVIDAPP can automatically direct you to sites with thw answers to frequently asked questions, referring symptomatic patients or patients with an epidemiological link to a tele-assisted assessment, which will guide the steps-to-follow according to the severity of symptoms. 
",drive.google.com/file/d/1JLTuLDaUfniwsFf5LlnnaFOHdfmC26gt/view,Big data and analytics,,,
 MERCAPTY,www.mercapty.com,1-10,Panamá,"Aplicación Movil  de gestión para la distribución de alimentos y artículos de primera necesidad, Encuentra tiendas cercanas a ti, donde puedes preparar los productos y luego retirarlos o solicitar el servicio de delivery de la tienda!

Emprendimiento en respuesta rápida contra el COVID-19",mercapty.com,Digital management platforms,,,
 MERCAPTY,www.mercapty.com,1-10,Panamá,"Aplicación Movil  de gestión para la distribución de alimentos y artículos de primera necesidad, Encuentra tiendas cercanas a ti, donde puedes preparar los productos y luego retirarlos o solicitar el servicio de delivery de la tienda!

Emprendimiento en respuesta rápida contra el COVID-19",mercapty.com,Digital management platforms,,,
AndromedaLatam,andromedalatam.com/,,Argentina,"TESTEATE! es una APP que que te ayuda a conocer previamente, si tenes que ir a un centro medico, ayudando al sistema de salud tanto público como privado y la No transmisión de otro tipo de contagios típicos hospitalarios. Ademas, ayudara a los médicos a focalizarse y a no expandir otros virus ademas del COVID-19. Esta aplicación te guiara para saber si vos o alguien de tu familia presentan síntomas y si es necesario que concurras a un centro de salud o bien si perteneces a un grupo de riesgo. En ella podrás realizar las siguientes acciones: - Gestionar tu acceso a través de cuenta de correo y una clave personal - Podrás consultar las medidas de prevención que deben tomar vos y tu familia en caso de presentar síntomas o pertenecer a un grupo de riesgo. - Realizar el test de diagnóstico de manera ágil y sencilla. - Registrar tu caso en una base centralizada para que se comuniquen con vos y explicarte los pasos a seguir. - Podrás conocer los centros de salud más cercanos a tu domicilio, de los cuales te podrán estar llamando. - Desde tu teléfono, podrás comunicarte directamente al telefono de emergencias, provisto por el gobierno nacional - También tenes disponibles las ultimas noticias publicadas por el Ministerio de Salud a tener en cuenta. Testeate, ayuda a los gobiernos a organizar su logistica de atencion, maximizar el uso de los recursos medicos y sus practicas, organizando a la poblacion. Ademas TESTEATE, incorpora un add-on, se llama CovidRX, un test basado en Deep Learning que implementa el análisis de radiografías o tomografías para identificar características propias del COVID-19. Este test les provee a los médicos una herramienta complementaria a los análisis de PCR (reacción en cadena de la polimerasa) para la toma de decisiones en el diagnóstico de aquellas personas sospechadas de tener el virus. https://www.linkedin.com/feed/update/urn:li:activity:6646456574317522944 https://www.linkedin.com/feed/update/urn:li:activity:6646580935275921408 https://www.linkedin.com/feed/update/urn:li:activity:6647217849783894017",,Digital management platforms,ConnectAmericas,,
